,character,line,gender
31,SAM WILSON,"Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know.",MALE
32,STEVE ROGERS,I'll keep it in mind.,MALE
33,SAM WILSON,Okay.,MALE
34,NATASHA ROMANOFF,"Hey, fellas. Either one of you know where the Smithsonian is? I'm here to pick up a fossil.",FEMALE
35,STEVE ROGERS,That's hilarious.,MALE
36,SAM WILSON,How you doing?,MALE
37,NATASHA ROMANOFF,Hey.,FEMALE
38,STEVE ROGERS,Can't run everywhere.,MALE
39,SAM WILSON,"No, you can't.",MALE
40,BROCK RUMLOW,"The target is a mobile satellite launch platform: The Lemurian Star. They were sending up their last payload when pirates took them, 93 minutes ago.",MALE
41,STEVE ROGERS,Any demands?,MALE
42,BROCK RUMLOW,A billion and a half.,MALE
43,STEVE ROGERS,Why so steep?,MALE
44,BROCK RUMLOW,Because it SHIELD's.,MALE
45,STEVE ROGERS,"So it's not off-course, it's trespassing.",MALE
46,NATASHA ROMANOFF,I'm sure they have a good reason.,FEMALE
47,STEVE ROGERS,"You know, I'm getting a little tired of being Fury's janitor.",MALE
48,NATASHA ROMANOFF,"Relax, it's not that complicated.",FEMALE
49,STEVE ROGERS,How many pirates?,MALE
50,BROCK RUMLOW,"Twenty-five, top mercs, led by this guy. Georges Batroc.",MALE
51,BROCK RUMLOW,"Ex-DGSE, Action Division. He's at the top of Interpol's Red Notice. Before the French demobilized him, he had thirty-six kill missions. This guy's got a rep for maximum casualties.",MALE
52,STEVE ROGERS,Hostages?,MALE
53,BROCK RUMLOW,"Uh...mostly techs. One officer, Jasper Sitwell.",MALE
54,BROCK RUMLOW,They're in the galley.,MALE
55,STEVE ROGERS,"What's Sitwell doing on a launch ship? Alright, I'm gonna sweep the deck and find Batroc. Nat, you'll kill the engines and wait for instructions. Rumlow, you sweep aft, find the hostages, get them to the life-pods, get 'em out. Let's move.",MALE
56,BROCK RUMLOW,"STRIKE, you heard the Cap. Gear up.",MALE
57,STEVE ROGERS,Secure channel seven.,MALE
58,NATASHA ROMANOFF,Seven secure. Did you do anything fun Saturday night?,FEMALE
59,STEVE ROGERS,"Well, all the guys from my barbershop quartet are dead, so... No, not really.",MALE
60,PILOT,"Coming up by the drop zone, Cap.",MALE
61,NATASHA ROMANOFF,"You know, if you ask Kristen out, from Statistics, she'd probably say yes.",FEMALE
62,STEVE ROGERS,That's why I don't ask.,MALE
63,NATASHA ROMANOFF,Too shy or too scared?,FEMALE
64,STEVE ROGERS,Too busy!,MALE
65,STRIKE AGENT,Was he wearing a parachute?,FEMALE
66,BROCK RUMLOW,"No. No, he wasn't.",MALE
67,FRENCH PIRATE #1,Do not move! Do not move.,MALE
68,STEVE ROGERS,Thanks.,MALE
69,BROCK RUMLOW,Yeah. You seemed pretty helpless without me.,MALE
70,NATASHA ROMANOFF,What about the nurse that lives across the hall from you? She seems kind of nice.,FEMALE
71,STEVE ROGERS,"Secure the engine room, then find me a date.",MALE
