,character,line,gender
443,SELVIG,I have had a God in my brain. I don't recommend it.,FEMALE
444,IAN BOOTHBY,"Dr. Selvig, your gear is beeping at me.",MALE
445,SELVIG,"It's happening, sooner than I calculated.",FEMALE
446,DARCY LEWIS,"Wait, what's happening?  Birds? Birds are happening?",FEMALE
447,IAN BOOTHBY,"They're starlings, it's called a murmuration. My dad used to take me bird watching as a kid.",MALE
448,DARCY LEWIS,Erik?,FEMALE
449,SELVIG,Look.,FEMALE
450,DARCY LEWIS,Where did they go?  What the hell was that?!  Why are you smiling?,FEMALE
451,SELVIG,There's nothing more reassuring than realizing that the world is crazier than you are.  Take me to Jane's lab!,FEMALE
452,THOR,Jane.,MALE
453,JANE,Malekith.,FEMALE
454,THOR,"Alright, are you ready?",MALE
455,LOKI,I am.  You know this plan of yours is going to get us killed.,MALE
456,THOR,"Yeah, possibly.",MALE
457,LOKI,"You still don't trust me, brother?",MALE
458,THOR,Would you?,MALE
459,LOKI,"No, I wouldn't.",MALE
460,JANE,Thor! No!,FEMALE
461,LOKI,"You really think I cared about Frigga, about any of you?  All I ever wanted was you and Odin dead at my feet!  Malekith, I am Loki of Jotunheim and I bring you a gift!  I ask only one thing in return, a good seat from which to watch Asgard burn.",MALE
462,KURSE,"He is an enemy of Asgard, he was locked in a cell.",MALE
463,MALEKITH,Look at me.,MALE
464,THOR,"Loki, now!   No!",MALE
465,LOKI,"See you in hell, monster!",MALE
466,THOR,"No. No, no, no! Oh, you fool, you didn't listen!",MALE
467,LOKI,I know. I'm a fool. I'm a fool!,MALE
468,THOR,"Stay with me, okay?",MALE
469,LOKI,I'm sorry. I'm sorry.,MALE
470,THOR,Shh.,MALE
471,LOKI,I'm sorry.,MALE
472,THOR,It's okay.  It's alright. I'll tell father what you did here today.,MALE
473,LOKI,I didn't do it for him.,MALE
474,THOR,No!,MALE
475,JANE,"He's gonna unleash it, not just on Asgard or on a star, Malekith is gonna destroy everything.",FEMALE
476,THOR,"How? Jane, how?",MALE
477,JANE,I saw him on Earth. Why would he go to Earth?,FEMALE
478,THOR,The Convergence.,MALE
479,JANE,"Oh, God. None of this would have happened if I hadn't found the Aether.",FEMALE
480,THOR,Then Malekith would have only possessed it that much sooner.,MALE
481,JANE,I only found it because I was looking for you.,FEMALE
482,THOR,Jane.,MALE
483,JANE,Now we're trapped here.,FEMALE
484,THOR,It's not me.,MALE
485,JANE,Hello?,FEMALE
486,RICHARD,"Hi, Jane, it's Richard.",MALE
487,JANE,Richard?! Where are you?,FEMALE
488,RICHARD,I'm still in the office. It's...It's been a crazy day here today.,MALE
489,JANE,"Oh, my God! This is amazing.",FEMALE
490,RICHARD,Is it? I quite enjoyed our lunch despite never actually ordering anything.,MALE
491,JANE,How am I getting service here?,FEMALE
492,RICHARD,Is this a bad time? Do you want me to try you there?,MALE
493,JANE,"No, no, no, no! Please, whatever you do, do not hang up the phone.",FEMALE
494,RICHARD,Okay then. I was just wondering if you want to try again? Uh...maybe dinner next time.,MALE
